Wavelength (Angstroms), Normalized intensity, Element
7769.0, 9883, 
7769.002, 9884, 
7769.004, 9884, 
7769.006, 9883, 
7769.008, 9883, 
7769.01, 9883, 
7769.012, 9882, 
7769.014, 9882, 
7769.016, 9882, 
7769.018, 9881, 
7769.02, 9880, 
7769.022, 9880, 
7769.024, 9880, 
7769.026, 9879, 
7769.028, 9879, 
7769.03, 9878, 
7769.032, 9878, 
7769.034, 9878, 
7769.036, 9877, 
7769.038, 9877, 
7769.04, 9876, 
7769.042, 9876, 
7769.044, 9875, 
7769.046, 9874, 
7769.048, 9874, 
7769.05, 9873, 
7769.052, 9871, 
7769.054, 9871, 
7769.056, 9870, 
7769.058, 9869, 
7769.06, 9868, 
7769.062, 9867, 
7769.064, 9866, 
7769.066, 9865, 
7769.068, 9864, 
7769.07, 9862, 
7769.072, 9861, 
7769.074, 9860, 
7769.076, 9858, 
7769.078, 9857, 
7769.08, 9856, 
7769.082, 9854, 
7769.084, 9853, 
7769.086, 9852, 
7769.088, 9851, 
7769.09, 9849, 
7769.092, 9848, 
7769.094, 9847, 
7769.096, 9846, 
7769.098, 9844, 
7769.1, 9843, 
7769.102, 9842, 
7769.104, 9841, 
7769.106, 9841, 
7769.108, 9840, 
7769.11, 9839, 
7769.112, 9839, 
7769.114, 9839, 
7769.116, 9838, 
7769.118, 9838, 
7769.12, 9838, 
7769.122, 9838, 
7769.124, 9838, 
7769.126, 9838, 
7769.128, 9838, 
7769.13, 9838, 
7769.132, 9838, 
7769.134, 9839, 
7769.136, 9839, 
7769.138, 9840, 
7769.14, 9840, 
7769.142, 9841, 
7769.144, 9842, 
7769.146, 9842, 
7769.148, 9843, 
7769.15, 9845, 
7769.152, 9846, 
7769.154, 9848, 
7769.156, 9849, 
7769.158, 9850, 
7769.16, 9851, 
7769.162, 9852, 
7769.164, 9854, 
7769.166, 9855, 
7769.168, 9856, 
7769.17, 9857, 
7769.172, 9859, 
7769.174, 9860, 
7769.176, 9861, 
7769.178, 9863, 
7769.18, 9864, 
7769.182, 9866, 
7769.184, 9867, 
7769.186, 9868, 
7769.188, 9870, 
7769.19, 9871, 
7769.192, 9872, 
7769.194, 9873, 
7769.196, 9874, 
7769.198, 9876, 
7769.2, 9876, 
7769.202, 9877, 
7769.204, 9878, 
7769.206, 9879, 
7769.208, 9879, 
7769.21, 9879, 
7769.212, 9880, 
7769.214, 9880, 
7769.216, 9881, 
7769.218, 9882, 
7769.22, 9882, 
7769.222, 9882, 
7769.224, 9883, 
7769.226, 9883, 
7769.228, 9883, 
7769.23, 9883, 
7769.232, 9883, 
7769.234, 9883, 
7769.236, 9883, 
7769.238, 9884, 
7769.24, 9884, 
7769.242, 9884, 
7769.244, 9884, 
7769.246, 9884, 
7769.248, 9885, 
7769.25, 9885, 
7769.252, 9885, 
7769.254, 9885, 
7769.256, 9885, 
7769.258, 9885, 
7769.26, 9885, 
7769.262, 9886, 
7769.264, 9886, 
7769.266, 9886, 
7769.268, 9887, 
7769.27, 9887, 
7769.272, 9887, 
7769.274, 9887, 
7769.276, 9887, 
7769.278, 9887, 
7769.28, 9887, 
7769.282, 9888, 
7769.284, 9888, 
7769.286, 9888, 
7769.288, 9888, 
7769.29, 9888, 
7769.292, 9888, 
7769.294, 9888, 
7769.296, 9888, 
7769.298, 9888, 
7769.3, 9888, 
7769.302, 9888, 
7769.304, 9888, 
7769.306, 9887, 
7769.308, 9887, 
7769.31, 9887, 
7769.312, 9887, 
7769.314, 9887, 
7769.316, 9886, 
7769.318, 9887, 
7769.32, 9886, 
7769.322, 9886, 
7769.324, 9886, 
7769.326, 9886, 
7769.328, 9885, 
7769.33, 9886, 
7769.332, 9885, 
7769.334, 9885, 
7769.336, 9885, 
7769.338, 9885, 
7769.34, 9885, 
7769.342, 9885, 
7769.344, 9885, 
7769.346, 9885, 
7769.348, 9884, 
7769.35, 9885, 
7769.352, 9884, 
7769.354, 9884, 
7769.356, 9884, 
7769.358, 9884, 
7769.36, 9884, 
7769.362, 9884, 
7769.364, 9884, 
7769.366, 9883, 
7769.368, 9883, 
7769.37, 9883, 
7769.372, 9882, 
7769.374, 9882, 
7769.376, 9881, 
7769.378, 9881, 
7769.38, 9881, 
7769.382, 9880, 
7769.384, 9880, 
7769.386, 9880, 
7769.388, 9880, 
7769.39, 9879, 
7769.392, 9879, 
7769.394, 9879, 
7769.396, 9879, 
7769.398, 9879, 
7769.4, 9879, 
7769.402, 9879, 
7769.404, 9879, 
7769.406, 9879, 
7769.408, 9879, 
7769.41, 9879, 
7769.412, 9880, 
7769.414, 9880, 
7769.416, 9880, 
7769.418, 9880, 
7769.42, 9880, 
7769.422, 9880, 
7769.424, 9880, 
7769.426, 9881, 
7769.428, 9881, 
7769.43, 9880, 
7769.432, 9880, 
7769.434, 9880, 
7769.436, 9880, 
7769.438, 9880, 
7769.44, 9880, 
7769.442, 9879, 
7769.444, 9878, 
7769.446, 9878, 
7769.448, 9878, 
7769.45, 9877, 
7769.452, 9877, 
7769.454, 9876, 
7769.456, 9875, 
7769.458, 9875, 
7769.46, 9874, 
7769.462, 9874, 
7769.464, 9873, 
7769.466, 9873, 
7769.468, 9872, 
7769.47, 9871, 
7769.472, 9870, 
7769.474, 9870, 
7769.476, 9868, 
7769.478, 9867, 
7769.48, 9867, 
7769.482, 9866, 
7769.484, 9865, 
7769.486, 9864, 
7769.488, 9863, 
7769.49, 9862, 
7769.492, 9861, 
7769.494, 9860, 
7769.496, 9858, 
7769.498, 9857, 
7769.5, 9856, 
7769.502, 9855, 
7769.504, 9854, 
7769.506, 9852, 
7769.508, 9851, 
7769.51, 9850, 
7769.512, 9848, 
7769.514, 9847, 
7769.516, 9845, 
7769.518, 9844, 
7769.52, 9842, 
7769.522, 9840, 
7769.524, 9839, 
7769.526, 9838, 
7769.528, 9837, 
7769.53, 9836, 
7769.532, 9834, 
7769.534, 9834, 
7769.536, 9832, 
7769.538, 9831, 
7769.54, 9829, 
7769.542, 9829, 
7769.544, 9828, 
7769.546, 9827, 
7769.548, 9826, 
7769.55, 9825, 
7769.552, 9824, 
7769.554, 9823, 
7769.556, 9823, 
7769.558, 9822, 
7769.56, 9821, 
7769.562, 9821, 
7769.564, 9820, 
7769.566, 9820, 
7769.568, 9820, 
7769.57, 9820, 
7769.572, 9820, 
7769.574, 9820, 
7769.576, 9820, 
7769.578, 9820, 
7769.58, 9820, 
7769.582, 9820, 
7769.584, 9820, 
7769.586, 9820, 
7769.588, 9821, 
7769.59, 9821, 
7769.592, 9821, 
7769.594, 9822, 
7769.596, 9822, 
7769.598, 9823, 
7769.6, 9824, 
7769.602, 9824, 
7769.604, 9825, 
7769.606, 9826, 
7769.608, 9827, 
7769.61, 9828, 
7769.612, 9829, 
7769.614, 9829, 
7769.616, 9831, 
7769.618, 9831, 
7769.62, 9832, 
7769.622, 9834, 
7769.624, 9835, 
7769.626, 9837, 
7769.628, 9838, 
7769.63, 9839, 
7769.632, 9840, 
7769.634, 9842, 
7769.636, 9843, 
7769.638, 9844, 
7769.64, 9845, 
7769.642, 9847, 
7769.644, 9848, 
7769.646, 9849, 
7769.648, 9850, 
7769.65, 9851, 
7769.652, 9853, 
7769.654, 9854, 
7769.656, 9855, 
7769.658, 9856, 
7769.66, 9857, 
7769.662, 9857, 
7769.664, 9858, 
7769.666, 9858, 
7769.668, 9859, 
7769.67, 9859, 
7769.672, 9860, 
7769.674, 9860, 
7769.676, 9861, 
7769.678, 9861, 
7769.68, 9862, 
7769.682, 9862, 
7769.684, 9862, 
7769.686, 9863, 
7769.688, 9863, 
7769.69, 9863, 
7769.692, 9864, 
7769.694, 9864, 
7769.696, 9864, 
7769.698, 9865, 
7769.7, 9865, 
7769.702, 9865, 
7769.704, 9866, 
7769.706, 9867, 
7769.708, 9868, 
7769.71, 9868, 
7769.712, 9869, 
7769.714, 9870, 
7769.716, 9871, 
7769.718, 9872, 
7769.72, 9872, 
7769.722, 9873, 
7769.724, 9874, 
7769.726, 9874, 
7769.728, 9875, 
7769.73, 9876, 
7769.732, 9877, 
7769.734, 9878, 
7769.736, 9879, 
7769.738, 9880, 
7769.74, 9881, 
7769.742, 9882, 
7769.744, 9883, 
7769.746, 9884, 
7769.748, 9884, 
7769.75, 9885, 
7769.752, 9885, 
7769.754, 9886, 
7769.756, 9886, 
7769.758, 9887, 
7769.76, 9888, 
7769.762, 9888, 
7769.764, 9889, 
7769.766, 9889, 
7769.768, 9890, 
7769.77, 9890, 
7769.772, 9890, 
7769.774, 9891, 
7769.776, 9891, 
7769.778, 9892, 
7769.78, 9893, 
7769.782, 9893, 
7769.784, 9893, 
7769.786, 9893, 
7769.788, 9894, 
7769.79, 9894, 
7769.792, 9895, 
7769.794, 9895, 
7769.796, 9895, 
7769.798, 9895, 
7769.8, 9895, 
7769.802, 9895, 
7769.804, 9895, 
7769.806, 9895, 
7769.808, 9895, 
7769.81, 9895, 
7769.812, 9894, 
7769.814, 9894, 
7769.816, 9894, 
7769.818, 9893, 
7769.82, 9893, 
7769.822, 9892, 
7769.824, 9892, 
7769.826, 9892, 
7769.828, 9891, 
7769.83, 9891, 
7769.832, 9891, 
7769.834, 9890, 
7769.836, 9890, 
7769.838, 9889, 
7769.84, 9889, 
7769.842, 9889, 
7769.844, 9888, 
7769.846, 9888, 
7769.848, 9888, 
7769.85, 9888, 
7769.852, 9888, 
7769.854, 9888, 
7769.856, 9888, 
7769.858, 9888, 
7769.86, 9888, 
7769.862, 9888, 
7769.864, 9888, 
7769.866, 9888, 
7769.868, 9888, 
7769.87, 9888, 
7769.872, 9888, 
7769.874, 9888, 
7769.876, 9888, 
7769.878, 9888, 
7769.88, 9888, 
7769.882, 9888, 
7769.884, 9888, 
7769.886, 9888, 
7769.888, 9888, 
7769.89, 9888, 
7769.892, 9889, 
7769.894, 9889, 
7769.896, 9889, 
7769.898, 9889, 
7769.9, 9889, 
7769.902, 9889, 
7769.904, 9889, 
7769.906, 9889, 
7769.908, 9889, 
7769.91, 9889, 
7769.912, 9889, 
7769.914, 9889, 
7769.916, 9889, 
7769.918, 9890, 
7769.92, 9890, 
7769.922, 9890, 
7769.924, 9890, 
7769.926, 9891, 
7769.928, 9891, 
7769.93, 9891, 
7769.932, 9891, 
7769.934, 9891, 
7769.936, 9891, 
7769.938, 9892, 
7769.94, 9892, 
7769.942, 9892, 
7769.944, 9892, 
7769.946, 9892, 
7769.948, 9892, 
7769.95, 9891, 
7769.952, 9891, 
7769.954, 9891, 
7769.956, 9890, 
7769.958, 9890, 
7769.96, 9890, 
7769.962, 9889, 
7769.964, 9888, 
7769.966, 9888, 
7769.968, 9887, 
7769.97, 9887, 
7769.972, 9886, 
7769.974, 9885, 
7769.976, 9885, 
7769.978, 9884, 
7769.98, 9883, 
7769.982, 9883, 
7769.984, 9883, 
7769.986, 9882, 
7769.988, 9881, 
7769.99, 9881, 
7769.992, 9880, 
7769.994, 9880, 
7769.996, 9879, 
7769.998, 9879, 
7770.0, 9879, 
7770.002, 9878, 
7770.004, 9878, 
7770.006, 9877, 
7770.008, 9877, 
7770.01, 9876, 
7770.012, 9876, 
7770.014, 9876, 
7770.016, 9876, 
7770.018, 9875, 
7770.02, 9875, 
7770.022, 9875, 
7770.024, 9874, 
7770.026, 9874, 
7770.028, 9873, 
7770.03, 9873, 
7770.032, 9873, 
7770.034, 9872, 
7770.036, 9871, 
7770.038, 9871, 
7770.04, 9871, 
7770.042, 9871, 
7770.044, 9870, 
7770.046, 9870, 
7770.048, 9870, 
7770.05, 9869, 
7770.052, 9869, 
7770.054, 9868, 
7770.056, 9867, 
7770.058, 9867, 
7770.06, 9867, 
7770.062, 9866, 
7770.064, 9866, 
7770.066, 9866, 
7770.068, 9866, 
7770.07, 9865, 
7770.072, 9865, 
7770.074, 9865, 
7770.076, 9864, 
7770.078, 9864, 
7770.08, 9864, 
7770.082, 9865, 
7770.084, 9865, 
7770.086, 9864, 
7770.088, 9865, 
